OrganisationURI,OrganisationLabel,Air Quality Monitoring Station,Location,Type,End Date,End Time,PM10,Units,NO2,Units
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,01:00:00,23,ugm-3 (INDIC.GRAV),31,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,02:00:00,16,ugm-3 (INDIC.GRAV),34,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,03:00:00,12,ugm-3 (INDIC.GRAV),36,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,04:00:00,16,ugm-3 (INDIC.GRAV),36,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,05:00:00,18,ugm-3 (INDIC.GRAV),38,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,06:00:00,21,ugm-3 (INDIC.GRAV),31,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,07:00:00,22,ugm-3 (INDIC.GRAV),29,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,08:00:00,25,ugm-3 (INDIC.GRAV),33,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,09:00:00,26,ugm-3 (INDIC.GRAV),27,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,10:00:00,22,ugm-3 (INDIC.GRAV),29,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,11:00:00,10,ugm-3 (INDIC.GRAV),33,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,12:00:00,5,ugm-3 (INDIC.GRAV),38,ugm-3
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet,Tally Ho AQMS ,North Finchley,BN1: Urban Kerbside,01/01/2014,13:00:00,8,ugm-3 (INDIC.GRAV),40,ugm-3
